Date,ABI.BR,AD.AS,ADSGn.DE,ADYEN.AS,AIR.PA,AIRP.PA,ALVG.DE,ASML.AS,AXAF.PA,BASFn.DE,BAYGn.DE,BBVA.MC,BMWG.DE,BNPP.PA,CRH.I,DANO.PA,DB1Gn.DE,DPWGn.DE,DTEGn.DE,ENEI.MI,ENI.MI,ESLX.PA,FLTRF.I,HRMS.PA,IBE.MC,IFXGn.DE,INGA.AS,ISP.MI,ITX.MC,LINI.DE,LVMH.PA,MBGn.DE,MUVGn.DE,NDAFI.HE,NOKIA.HE,OREP.PA,PERP.PA,PRTP.PA,PRX.AS,SAF.PA,SAN.MC,SAPG.DE,SASY.PA,SCHN.PA,SGEF.PA,SIEGn.DE,STLAM.MI,TTEF.PA,VNAn.DE,VOWG_p.DE
2013-02-06,1581101,1940425,798508,#N/A N/A,1772348,1556099,1866678,1379586,9994184,3175300,3339549,34581229,1477268,4596368,2116761,2516975,1327197,4271116,15280910,48082660,11069773,539144,7111,39100,42271934,8381267,31771040,236208714,5271180,#N/A N/A,1144697,6106690,1013774,683172,35883269,554605,452758,318998,#N/A N/A,774487,71188256,3457026,3492738,1632581,3567510,2572164,#N/A N/A,5048713,#N/A N/A,72321
2013-02-07,2044932,2012368,1121002,#N/A N/A,1642660,1207089,1686355,1461653,6647428,2816180,2857813,38601241,1635556,3735901,2775354,2480845,890912,4667987,12831991,51160011,29727153,423631,14050,31151,23287274,6520467,17649060,139460595,4663695,#N/A N/A,912662,9911159,944364,949354,30683710,591186,430265,352621,#N/A N/A,690070,53824825,3200440,8059120,1346470,2291131,2728939,#N/A N/A,5377081,#N/A N/A,62156
2013-02-08,1671524,1473215,1302145,#N/A N/A,1066617,1121075,1237105,1060755,5268944,1843009,1781486,45949654,1310537,3663641,2093579,1648475,638429,3049966,15133292,38615030,25108919,489381,19573,24056,23441204,4874914,16187519,133421946,3377815,#N/A N/A,752254,5981103,598769,618450,20629398,697934,457013,206815,#N/A N/A,644928,56192954,1994249,4440368,982552,1724929,2353782,#N/A N/A,4851318,#N/A N/A,50258
2013-02-11,1365610,7215837,733180,#N/A N/A,1292085,863037,898918,811904,3524675,1418884,1542006,22879983,1291026,2576821,1277309,1010042,581603,3633007,7781690,32750625,10543113,342496,11967,17624,21686964,5082313,13633069,101930447,4675735,#N/A N/A,563749,3630129,518473,281328,16656306,588958,435923,238432,#N/A N/A,671242,74910400,2097322,5926430,611773,1091787,1829807,#N/A N/A,4141133,#N/A N/A,46936
2013-02-12,2033821,3816543,604203,#N/A N/A,1232483,1124298,1214375,982562,6334374,1885649,1456145,36430329,1347531,4091394,2229137,1966420,875462,3649925,13282496,28682789,9360077,402263,6165,54667,34214644,7072526,16878579,125167003,5371570,#N/A N/A,703214,3995834,538653,505368,18226908,1203714,671393,227304,#N/A N/A,608493,48514633,2132296,2442376,818358,1317350,2349121,#N/A N/A,4485462,#N/A N/A,61600
2013-02-13,2151353,3411144,550048,#N/A N/A,1091348,1153247,1487923,1101860,5271594,2152850,1711645,58452754,1189974,3818510,2714402,1449658,960527,2837416,14290794,26145217,11001278,500265,6774,60954,21039263,4632950,29579400,110852787,3627870,#N/A N/A,659214,3426717,519393,587877,17678045,537499,673081,169963,#N/A N/A,634500,59435416,2247631,3106648,822187,1228621,2969600,#N/A N/A,5527988,#N/A N/A,46891
2013-02-14,5527653,2195280,693113,#N/A N/A,1219593,2290516,1506386,1041911,6105899,2243067,2105816,42513952,1353896,7947608,2209470,2657742,534364,2395470,14128552,32170680,12229726,479792,6535,57894,33638241,9510234,18467494,145295145,4457880,#N/A N/A,540273,3474215,507394,692910,31561509,543829,1500214,302428,#N/A N/A,633074,50427393,2106134,3430158,1095216,1509230,2172187,#N/A N/A,6517887,#N/A N/A,65316
2013-02-15,2149433,2343335,945626,#N/A N/A,1513167,2283732,1586543,1310944,7029424,3014793,3261926,40112715,1461517,4966090,1771248,1719036,813982,3001789,36361946,37824875,20267008,547145,4816,24955,55993948,6952070,15575458,120932714,6010225,#N/A N/A,855806,4001258,678804,248662,23932542,533995,716922,1309017,#N/A N/A,958745,69298595,3028328,2799972,1345150,2090127,2623462,#N/A N/A,7321322,#N/A N/A,41079
2013-02-18,1329252,1434284,822572,#N/A N/A,1022608,1344773,1103913,962770,5240635,1846374,1231504,21480251,951551,3166507,1087506,1326064,833284,2002305,14475078,25275916,7969273,414526,3940,15639,43768275,2371650,9879504,80522253,5326235,#N/A N/A,453890,2621511,502354,543636,12017589,412232,477178,345421,#N/A N/A,536185,40559169,1523095,1253154,733759,1071780,1187012,#N/A N/A,3110931,#N/A N/A,23088
2013-02-19,1956401,2768149,788246,#N/A N/A,1539428,2353241,1758329,1033355,8022421,3520828,2916611,48826336,1926065,2878682,1934906,4497048,636408,3597348,12378768,28166311,10647698,466850,6834,14977,50792488,10003375,16665292,124962892,9339115,#N/A N/A,737534,3622577,717657,1128781,18077013,547260,723066,369946,#N/A N/A,919367,52910415,2137152,2983991,1429145,1631366,1966293,#N/A N/A,6366987,#N/A N/A,69266
2013-02-20,1724592,2686284,660145,#N/A N/A,2201378,1218497,1705546,1114080,6393273,2788580,2242279,25516814,1485880,3699626,1784726,2018731,696373,2454291,21425264,23527813,8681130,576686,3748,23163,21897907,8139959,17984799,117425614,7789600,#N/A N/A,613914,3558783,540878,482768,21091127,490521,599465,233804,#N/A N/A,740006,49581089,2034157,2608715,1550904,1541464,1731671,#N/A N/A,4250584,#N/A N/A,61012
2013-02-21,2609181,2834166,839687,#N/A N/A,1539162,1881437,3309092,1541163,12185279,3384646,2809374,35089120,2327628,5926415,3288179,2085701,813822,3456639,22445088,44715869,14924702,612644,3534,38439,34830660,6948153,31287562,189455497,5284230,#N/A N/A,955150,4440810,835094,1157209,27968775,699336,540094,488196,#N/A N/A,1759219,81708103,3263427,3898256,3523129,2222563,2808190,#N/A N/A,6167478,#N/A N/A,57686
2013-02-22,1636810,2806330,901807,#N/A N/A,1835389,1758481,2015475,931456,8746385,3054531,2039372,25254794,2783226,4350851,2512741,1697522,821897,2609599,19258135,34768245,10031440,820154,5284,21998,29089333,8446067,21777576,135445539,4709635,#N/A N/A,621747,4637051,686056,276583,23567287,518423,503733,344026,#N/A N/A,1033196,47131113,2019902,2694648,2855819,1879617,1960012,#N/A N/A,5461439,#N/A N/A,263678
2013-02-25,2299879,3170093,908731,#N/A N/A,1311746,1915863,2966215,1247633,10560760,3888167,2966110,50031000,2810780,6306810,3414430,2092361,4764329,3133915,18202841,63350943,19158790,648722,9084,11952,39427911,8403610,29602972,296073310,7588220,#N/A N/A,940670,5439470,885347,993333,31012593,984360,611439,222427,#N/A N/A,1021348,91555622,3580859,3284969,2164720,2334062,3473216,#N/A N/A,6305883,#N/A N/A,398011
2013-02-26,3249445,3752070,1354855,#N/A N/A,1866903,1995883,3147602,1767126,15242199,5564967,3909563,84107089,2264463,9597217,5206641,2236945,1208653,4025657,17275479,80473168,23736433,708001,14698,31291,50924604,8972200,40879999,418296997,9680430,#N/A N/A,1006676,5507268,935321,1105004,39146209,886552,589199,408928,#N/A N/A,699873,129054697,3569046,4599339,2444433,2720313,3075358,#N/A N/A,8304812,#N/A N/A,113562
2013-02-27,2517547,2071351,799415,#N/A N/A,7553622,1562190,1880424,1160785,8040293,3554494,2330330,29198010,1919743,6243792,3288655,1445327,854098,2411988,12716365,47365555,13385574,649859,3814,16834,27405142,4748715,33889878,144181720,5169505,#N/A N/A,788176,3744004,586922,726701,34404614,651522,584223,251910,#N/A N/A,771823,62242418,2545292,2984080,1767018,1854294,1962151,#N/A N/A,5475658,#N/A N/A,84836
2013-02-28,3055117,6682211,684056,#N/A N/A,7888501,1330164,2139602,1313893,6786445,2983878,4074103,34599396,1555604,4455634,2419589,1692035,723129,3838517,26668584,36380548,11806401,1835838,5449,17922,78884398,9172859,22160259,173536750,10666135,#N/A N/A,757773,3119663,669597,593212,40169267,619212,566640,260561,#N/A N/A,1436659,66709618,2681301,3169142,1687437,1589658,2557720,#N/A N/A,5121760,#N/A N/A,92502
2013-03-01,1690586,3641786,889986,#N/A N/A,2734471,2158885,1715638,1138543,7683778,2492935,2272295,31837310,2202823,5418369,2714504,1193489,855463,2743149,18348389,38335241,9356989,694848,9598,20741,103044951,7348073,32033778,175935775,5928100,#N/A N/A,583778,4247479,502256,624182,24301983,522751,454710,296346,#N/A N/A,1465344,59028224,2716172,2144688,1226200,1566822,1814837,#N/A N/A,5060081,#N/A N/A,124882
2013-03-04,1839407,2538770,629759,#N/A N/A,2724613,1196320,1097628,1128605,4014852,2500345,1815255,22403390,1510626,3162771,2116293,1175715,489617,3531590,13608468,42391664,8253574,487109,7240,22644,49204865,4076767,17121198,142960824,4691505,#N/A N/A,508534,3109012,432702,532496,45228396,489506,469896,271104,#N/A N/A,584960,52403422,2508703,2221448,955345,1087114,1191880,#N/A N/A,2818133,#N/A N/A,60712
2013-03-05,2109018,3805541,974462,#N/A N/A,2347769,1543733,2096459,1345177,11909123,3022591,3465291,32112368,1966063,5156454,4241218,2446521,851988,10097969,15770081,38592159,11095965,634196,13647,14509,36355369,6284948,20645060,166966712,5388175,#N/A N/A,1008316,5341093,847245,1342234,28471552,837171,596604,274231,#N/A N/A,684405,60388329,4145221,3650574,1766833,1488683,2724351,#N/A N/A,5039228,#N/A N/A,89106
2013-03-06,1492648,3190325,979000,#N/A N/A,2007919,1461275,2185713,1257952,7171916,3192813,2472468,38732865,1503437,3810954,3464687,1846164,804154,4792410,17497140,29564320,14044818,534128,7981,16817,44727723,6872284,27080341,174699213,6527950,#N/A N/A,719543,3923930,854804,1678431,26647412,559968,486761,250783,#N/A N/A,526223,96341888,4187881,2118925,1203721,1186988,2522847,#N/A N/A,3616257,#N/A N/A,71563
2013-03-07,1119964,2072663,3039599,#N/A N/A,2442476,947630,2063544,1108825,6614459,2125648,1570235,24767452,1320415,3478058,2367944,1791289,722093,3209359,13406583,29772348,9189992,444246,5633,17845,26558557,5083046,23173169,127006490,2706195,#N/A N/A,515921,5095103,869649,777127,36298902,721252,356196,259493,#N/A N/A,645166,67411606,2312927,2245979,1219154,1019478,1706543,#N/A N/A,3699829,#N/A N/A,94776
2013-03-08,1943196,2961092,1877260,#N/A N/A,2199118,1013171,2268224,1390049,12767848,2256079,2155545,43206797,1694965,5465620,2340341,1635108,609659,3885083,13217876,35692612,11211102,499495,3076,15521,36378785,14942089,25223848,127916141,6504475,#N/A N/A,700817,3941577,682719,460074,23715299,623796,441192,243112,#N/A N/A,858887,182561645,2419454,2664559,1232237,1312383,2880928,#N/A N/A,4120369,#N/A N/A,71532
2013-03-11,1527621,3796742,911619,#N/A N/A,1930375,1211168,1464420,786933,6781148,1498246,1549240,21689066,984141,2553034,1365267,1388712,490415,2486149,10847693,24073620,8860239,331472,7287,27102,23143540,5123937,12803887,88943800,3908490,#N/A N/A,627157,2695799,398279,321034,21980538,424184,393207,179473,#N/A N/A,936160,56543854,2069831,1799971,821697,1036961,1429906,#N/A N/A,3169736,#N/A N/A,67344
2013-03-12,1414703,2895102,871709,#N/A N/A,1910965,1219454,1377611,1135212,10182480,2096965,1867565,23500401,1135101,2756053,1451546,1299951,586983,2441317,11340715,34994903,12402417,452421,3698,45688,38514845,4125429,17848096,159031020,4913055,#N/A N/A,716170,2479060,695474,1130448,21518288,403845,310632,251093,#N/A N/A,788703,45024726,2143091,2113129,977629,1586357,1853134,#N/A N/A,3314248,#N/A N/A,72272
2013-03-13,1113828,3298910,1028100,#N/A N/A,2620488,1134063,1669214,1323438,5148983,2094600,1384878,25417907,1674850,3358928,3009917,1607476,554952,3201853,9330233,124124577,11012184,655393,3256,18412,22328476,9700258,15106932,168650883,11151560,#N/A N/A,640836,2450079,590468,1383493,25169047,579946,354599,258217,#N/A N/A,880389,64384417,1741256,1904121,953712,1217688,1495194,#N/A N/A,3129485,#N/A N/A,88852
2013-03-14,1363053,4262607,907905,#N/A N/A,2633767,1381015,1996426,2168698,10214283,2918266,2017471,47263263,2805546,4649118,2470531,1738133,576626,3476249,27265081,70753018,22599900,1065438,5044,18097,46987262,5796321,16488783,140495114,11778325,#N/A N/A,764227,4036377,773220,1090266,26539924,672255,369083,293958,#N/A N/A,651241,80012750,2968181,2336847,1323506,2041988,2094037,#N/A N/A,4500077,#N/A N/A,180390
2013-03-15,2508894,5335757,1787190,#N/A N/A,26899993,2150126,4624811,3002636,14801936,7026175,6128554,217264917,4029880,6097027,3530163,2940564,1731875,6920284,39825584,71702317,23829600,1022820,10643,24684,93147653,11317229,23250183,210371592,13227500,#N/A N/A,2365872,8948559,2102960,1487070,230141323,1426149,1328952,559705,#N/A N/A,1129118,216958520,7225645,5649612,2743389,2848127,7507138,#N/A N/A,7815901,#N/A N/A,242081
2013-03-18,1729479,3224838,957264,#N/A N/A,5375988,1152751,2929145,1377033,11296794,2739742,1839363,52106627,1584596,5978402,1707549,1891690,734084,2715608,15665943,47606894,12378869,1106059,6141,18708,27498106,6132401,27128702,202724901,6657175,#N/A N/A,764771,3821999,862126,759046,46832108,667200,428328,372559,#N/A N/A,897860,66706861,2317822,2159881,1514474,1842223,3279540,#N/A N/A,5223660,#N/A N/A,126903
2013-03-19,1609699,2939412,766534,#N/A N/A,2396216,1417661,1806847,1276566,5909304,2803426,2170926,66212288,3185411,6753241,1896774,2086807,781083,4441044,14081044,38558774,15234881,899620,7735,30301,41030984,6821582,27848841,173641509,4920260,#N/A N/A,817383,5125260,642509,989609,26181466,804854,513959,322516,#N/A N/A,702827,95794113,2518853,2639967,2011956,1684758,3208690,#N/A N/A,5050343,#N/A N/A,93496
2013-03-20,1852030,3129497,886710,#N/A N/A,2799679,1520509,1325477,944486,5902561,2448579,2497348,36284535,2148542,6615129,2603303,2078445,781769,5139017,11875884,42895981,12395516,758621,11492,20751,39656258,6232485,23457477,191262863,7642780,#N/A N/A,810359,3249480,568403,1095214,21248272,843761,590035,230139,#N/A N/A,1005115,95671272,2126003,4475102,1571159,1743059,3814994,#N/A N/A,3834080,#N/A N/A,111617
